Indicação de data e hora,Qual o melhor candidato pro PSOL em 2014?,Qual o pré-candidato do PSOL que melhor ecoa as vozes das ruas após as jornadas de Junho/Outubro?,,Qual o melhor pré-candidato apontado pelo PSOL no que tange ao Ecossocialismo?,Qual o melhor pré-candidato apontado pelo PSOL no que tange a questão de gênero?,Qual o melhor pré-candidato apontado pelo PSOL com relação à questão LGBT?,Qual o melhor pré-candidato apontado pelo PSOL no que se relaciona com a questão racial/Negros de Negras?,Qual o melhor pré-candidato apontado pelo PSOL no que tange à questão da legalização das drogas?,Qual o melhor pré-candidato apontado pelo PSOL com relação à disciplina partidária e relação com a base e instâncias?,O congresso foi legítimo?,O processo de escolha do candidato a presidente no congresso foi legítimo?,"Se você acha que o congresso foi legítimo, quem você acha que é o melhor candidato a presidente pelo PSOL? ","Se você acha que o congresso foi ilegítimo, quem você acha que é o melhor candidato a presidente pelo PSOL? ",,"Se você acha que o processo de escolha do candidato a presidente no congresso foi legítimo, quem você acha que é o melhor candidato a presidente pelo PSOL?","Se você acha que o processo de escolha do candidato a presidente no congresso foi ilegítimo, quem você acha que é o melhor candidato a presidente pelo PSOL?"
12/12/2013 10:17:47,Chico Alencar,Chico Alencar,,Renato Roseno,Luciana Genro,Chico Alencar,Chico Alencar,Renato Roseno,Chico Alencar,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar
14/12/2013 03:34:49,Renato Roseno,Chico Alencar,,Renato Roseno,Chico Alencar,Renato Roseno,Chico Alencar,Renato Roseno,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar
09/12/2013 16:33:15,Chico Alencar,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,"Sim, e temso de parar de conflito para seguir construindo o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar
08/12/2013 17:17:43,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,"Sim, e temso de parar de conflito para seguir construindo o PSOL","Não, mas devemos parar de conflito para construir o PSOL",Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar
08/12/2013 21:36:03,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Nenhum dos indicados,Não,Não,Não sabe/Não Respondeu/Não quer responder,Chico Alencar,,Chico Alencar,Chico Alencar
14/12/2013 03:25:15,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL",Sim,Chico Alencar,Outro,,Chico Alencar,Chico Alencar
08/12/2013 10:54:18,Chico Alencar,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,Não sabe/Não Respondeu/Não quer responder,Chico Alencar,,Não Sabe/Não Respondeu/Não quer responder,Chico Alencar
06/12/2013 22:35:05,Chico Alencar,Renato Roseno,,Renato Roseno,Nenhum dos apontados,Nenhum dos apontados,Renato Roseno,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não,Não sabe/Não Respondeu/Não quer responder,Chico Alencar,,Não Sabe/Não Respondeu/Não quer responder,Chico Alencar
07/12/2013 12:05:53,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL","Não, mas devemos parar de conflito para construir o PSOL",Não sabe/Não Respondeu/Não quer responder,Chico Alencar,,Não Sabe/Não Respondeu/Não quer responder,Chico Alencar
13/12/2013 18:22:15,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Nenhum dos indicados,Chico Alencar,,Nenhum dos indicados,Chico Alencar
07/12/2013 13:41:26,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Não,Não,Outro,Chico Alencar,,Outro,Chico Alencar
06/12/2013 22:08:03,Chico Alencar,Chico Alencar,,Renato Roseno,Luciana Genro,Luciana Genro,Chico Alencar,Chico Alencar,Chico Alencar,Não,Não,Outro,Chico Alencar,,Outro,Chico Alencar
14/12/2013 01:23:19,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Não,Não,Não sabe/Não Respondeu/Não quer responder,Chico Alencar,,,Chico Alencar
06/12/2013 22:24:24,Chico Alencar,Chico Alencar,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,Nenhum dos indicados,Chico Alencar,,,Chico Alencar
06/12/2013 22:25:15,Chico Alencar,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Nenhum dos indicados,Chico Alencar,,,Chico Alencar
12/12/2013 10:22:55,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Não,Não,,Chico Alencar,,,Chico Alencar
12/12/2013 03:29:17,Chico Alencar,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,Não,Não,,Chico Alencar,,,Chico Alencar
12/12/2013 14:53:00,Chico Alencar,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,Não,Não,,Chico Alencar,,,Chico Alencar
13/12/2013 15:49:40,Chico Alencar,Chico Alencar,,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,Chico Alencar,Renato Roseno,Não,Não,,Chico Alencar,,,Chico Alencar
07/12/2013 15:55:32,Chico Alencar,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Chico Alencar,,,Chico Alencar
12/12/2013 18:44:11,Chico Alencar,Chico Alencar,,Não Sabe/Não Respondeu/Não quer Responder,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL","Não, mas devemos parar de conflito para construir o PSOL",,Chico Alencar,,,Chico Alencar
07/12/2013 13:22:12,Chico Alencar,Renato Roseno,,Renato Roseno,Chico Alencar,Chico Alencar,Chico Alencar,Renato Roseno,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL","Não, mas devemos parar de conflito para construir o PSOL",,Chico Alencar,,,Chico Alencar
15/12/2013 00:48:30,Chico Alencar,Chico Alencar,,Chico Alencar,Nenhum dos apontados,Chico Alencar,Chico Alencar,Nenhum dos apontados,Chico Alencar,Sim,Não,Chico Alencar,,,,Chico Alencar
06/12/2013 22:27:39,Chico Alencar,Chico Alencar,,Chico Alencar,Luciana Genro,Renato Roseno,Chico Alencar,Chico Alencar,Renato Roseno,Não,Não,Chico Alencar,Luciana Genro,,Luciana Genro,Luciana Genro
12/12/2013 20:30:34,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Luciana Genro,Chico Alencar,Luciana Genro,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
14/12/2013 22:04:07,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
15/12/2013 17:20:37,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
06/12/2013 22:56:44,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Não Sabe/Não Respondeu/Não quer responder,Nenhum dos apontados,Luciana Genro,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
09/12/2013 22:55:17,Luciana Genro,Luciana Genro,,Não Sabe/Não Respondeu/Não quer Responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
07/12/2013 17:38:47,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
07/12/2013 03:09:10,Luciana Genro,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,Renato Roseno,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
07/12/2013 10:34:45,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Renato Roseno,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
13/12/2013 17:18:37,Luciana Genro,Renato Roseno,,Renato Roseno,Outro,Luciana Genro,Luciana Genro,Renato Roseno,Renato Roseno,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
08/12/2013 16:36:24,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,"Não, mas temos de assumir o resultado para construir o PSOL",Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
07/12/2013 00:00:21,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Luciana Genro,Chico Alencar,Não Sabe/Não Respondeu/Não quer responder,Chico Alencar,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
13/12/2013 19:05:27,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
06/12/2013 21:58:45,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
09/12/2013 22:27:33,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,"Não, mas temos de assumir o resultado para construir o PSOL","Não, mas devemos parar de conflito para construir o PSOL",Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
08/12/2013 21:48:03,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Sim,Sim,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
06/12/2013 22:33:16,Luciana Genro,Outro,Marcelo Freixo,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Sim,Sim,Luciana Genro,Luciana Genro,Marcelo Freixo,Luciana Genro,Luciana Genro
06/12/2013 21:55:57,Tem de se coligar com o PCB e apoiar Mauro Iasi,Nenhum dos pré candidatos do PSOL,Mauro Iasi,Renato Roseno,Luciana Genro,Nenhum dos apontados,Chico Alencar,Renato Roseno,Outro,Sim,Sim,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
08/12/2013 21:44:22,Luciana Genro,Luciana Genro,,Não Sabe/Não Respondeu/Não quer Responder,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Sim,"Sim, e devemos parar de conflito para construir o PSOL",Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
07/12/2013 22:04:41,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,"Sim, e temso de parar de conflito para seguir construindo o PSOL","Sim, e devemos parar de conflito para construir o PSOL",Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
06/12/2013 22:58:43,outro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Não,Não,Não sabe/Não Respondeu/Não quer responder,Luciana Genro,,Luciana Genro,Luciana Genro
07/12/2013 19:05:24,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Luciana Genro,Chico Alencar,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Não sabe/Não Respondeu/Não quer responder,Luciana Genro,,Luciana Genro,Luciana Genro
08/12/2013 15:19:38,Luciana Genro,Luciana Genro,,Não Sabe/Não Respondeu/Não quer Responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Luciana Genro,Não,Não,Não sabe/Não Respondeu/Não quer responder,Luciana Genro,,Não Sabe/Não Respondeu/Não quer responder,Luciana Genro
12/12/2013 00:10:03,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Não,Não,Nenhum dos indicados,Luciana Genro,,Nenhum dos indicados,Luciana Genro
13/12/2013 16:02:16,Luciana Genro,Luciana Genro,,Nenhum dos apontados,Luciana Genro,Nenhum dos apontados,Nenhum dos apontados,Nenhum dos apontados,Nenhum dos indicados,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Nenhum dos indicados,Luciana Genro,,Nenhum dos indicados,Luciana Genro
13/12/2013 20:59:12,Renato Roseno,Luciana Genro,,Renato Roseno,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro
08/12/2013 16:30:57,Luciana Genro,Luciana Genro,,Outro,Luciana Genro,Luciana Genro,Luciana Genro,Não Sabe/Não Respondeu/Não quer responder,Luciana Genro,Não,Não,,Chico Alencar,,,Luciana Genro
07/12/2013 13:14:14,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,,Luciana Genro
06/12/2013 23:51:16,Luciana Genro,Renato Roseno,,Não Sabe/Não Respondeu/Não quer Responder,Luciana Genro,Luciana Genro,Chico Alencar,Luciana Genro,Chico Alencar,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Luciana Genro,Luciana Genro,,,Luciana Genro
15/12/2013 08:12:22,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Luciana Genro,Luciana Genro,,,Luciana Genro
10/12/2013 01:21:19,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Chico Alencar,Luciana Genro,Renato Roseno,Chico Alencar,Não,Não,Não sabe/Não Respondeu/Não quer responder,Luciana Genro,,,Luciana Genro
07/12/2013 08:57:35,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Luciana Genro,Chico Alencar,Luciana Genro,Luciana Genro,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Não sabe/Não Respondeu/Não quer responder,Luciana Genro,,,Luciana Genro
07/12/2013 09:03:18,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Não,Não,Outro,Luciana Genro,,,Luciana Genro
07/12/2013 18:35:49,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Não,Não,,Luciana Genro,,,Luciana Genro
12/12/2013 12:44:05,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Não,Não,,Luciana Genro,,,Luciana Genro
13/12/2013 16:18:02,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Luciana Genro,,,Luciana Genro
08/12/2013 17:48:10,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Outro,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Luciana Genro,,,Luciana Genro
07/12/2013 16:51:21,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Luciana Genro,,,Luciana Genro
12/12/2013 10:20:29,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Luciana Genro,Não Sabe/Não Respondeu/Não quer responder,Renato Roseno,Luciana Genro,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Luciana Genro,,,Luciana Genro
06/12/2013 21:51:27,Chico Alencar,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Chico Alencar,Não Sabe/Não Respondeu/Não quer responder,,Não Sabe/Não Respondeu/Não quer responder,Não sabe/Não Respondeu/Não quer responder
12/12/2013 09:01:39,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Luciana Genro,Renato Roseno,Luciana Genro,Luciana Genro,Não,Não,Não sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,,Não Sabe/Não Respondeu/Não quer responder,Não sabe/Não Respondeu/Não quer responder
09/12/2013 19:59:18,Não sabe/Não respondeu/Não quer responder,Não Sabe/Não respondeu/Não quer responder,,Não Sabe/Não Respondeu/Não quer Responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,"Não Sabe/Não Respondeu, não quer responder",Não,Não,Não sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,,Não Sabe/Não Respondeu/Não quer responder,Não sabe/Não Respondeu/Não quer responder
06/12/2013 22:40:15,Não sabe/Não respondeu/Não quer responder,Outro,Matheus Pacheco,Não Sabe/Não Respondeu/Não quer Responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,"Não Sabe/Não Respondeu, não quer responder",Não,Não,Não sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,,Não Sabe/Não Respondeu/Não quer responder,Não sabe/Não Respondeu/Não quer responder
07/12/2013 01:11:22,Nenhum dos acima,Chico Alencar,,Renato Roseno,Luciana Genro,Não Sabe/Não Respondeu/Não quer responder,Renato Roseno,Não Sabe/Não Respondeu/Não quer responder,Chico Alencar,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Nenhum dos indicados,Nenhum dos indicados,,Não Sabe/Não Respondeu/Não quer responder,Não sabe/Não Respondeu/Não quer responder
13/12/2013 15:59:35,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Outro,Outro,Outro,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Não sabe/Não Respondeu/Não quer responder,Renato Roseno,,Não Sabe/Não Respondeu/Não quer responder,Não sabe/Não Respondeu/Não quer responder
13/12/2013 16:17:55,Renato Roseno,Renato Roseno,,Renato Roseno,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Não sabe/Não Respondeu/Não quer responder,Renato Roseno,,Não Sabe/Não Respondeu/Não quer responder,Não sabe/Não Respondeu/Não quer responder
07/12/2013 12:43:45,Tem de se coligar com o PCB e apoiar Mauro Iasi,Renato Roseno,,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Renato Roseno,Renato Roseno,Não,Não,Nenhum dos indicados,Renato Roseno,,Não Sabe/Não Respondeu/Não quer responder,Não sabe/Não Respondeu/Não quer responder
07/12/2013 01:42:53,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Sim,Não,Renato Roseno,Renato Roseno,,Não Sabe/Não Respondeu/Não quer responder,Não sabe/Não Respondeu/Não quer responder
07/12/2013 00:57:03,Chico Alencar,Chico Alencar,,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Sim,Sim,Randolfe Rodrigues,Randolfe Rodrigues,,Randolfe Rodrigues,Não sabe/Não Respondeu/Não quer responder
07/12/2013 16:38:28,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não,Renato Roseno,Não Sabe/Não Respondeu/Não quer responder,,Renato Roseno,Não sabe/Não Respondeu/Não quer responder
07/12/2013 07:29:15,Randolfe Rodrigues,Renato Roseno,,Renato Roseno,Luciana Genro,Chico Alencar,Chico Alencar,Renato Roseno,Chico Alencar,"Sim, e temso de parar de conflito para seguir construindo o PSOL",Sim,Renato Roseno,Não Sabe/Não Respondeu/Não quer responder,,Renato Roseno,Não sabe/Não Respondeu/Não quer responder
07/12/2013 10:33:48,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Não Sabe/Não Respondeu/Não quer responder,Renato Roseno,Renato Roseno,Não,Não,Nenhum dos indicados,Nenhum dos indicados,,Nenhum dos indicados,Nenhum dos indicados
06/12/2013 21:56:50,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Nenhum dos indicados,Nenhum dos indicados
06/12/2013 22:03:08,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Nenhum dos indicados,Renato Roseno,,Renato Roseno,Nenhum dos indicados
06/12/2013 22:07:21,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Luciana Genro,Chico Alencar,Renato Roseno,Luciana Genro,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Não sabe/Não Respondeu/Não quer responder,Outro,,Outro,Outro
15/12/2013 06:38:26,Renato Roseno,Renato Roseno,,Renato Roseno,Outro,Outro,Outro,Outro,Renato Roseno,Não,Sim,,Renato Roseno,,,Outro
