Indicação de data e hora,Qual o melhor candidato pro PSOL em 2014?,Qual o pré-candidato do PSOL que melhor ecoa as vozes das ruas após as jornadas de Junho/Outubro?,,Qual o melhor pré-candidato apontado pelo PSOL no que tange ao Ecossocialismo?,Qual o melhor pré-candidato apontado pelo PSOL no que tange a questão de gênero?,Qual o melhor pré-candidato apontado pelo PSOL com relação à questão LGBT?,Qual o melhor pré-candidato apontado pelo PSOL no que se relaciona com a questão racial/Negros de Negras?,Qual o melhor pré-candidato apontado pelo PSOL no que tange à questão da legalização das drogas?,Qual o melhor pré-candidato apontado pelo PSOL com relação à disciplina partidária e relação com a base e instâncias?,O congresso foi legítimo?,O processo de escolha do candidato a presidente no congresso foi legítimo?,"Se você acha que o congresso foi legítimo, quem você acha que é o melhor candidato a presidente pelo PSOL? ","Se você acha que o congresso foi ilegítimo, quem você acha que é o melhor candidato a presidente pelo PSOL? ",,"Se você acha que o processo de escolha do candidato a presidente no congresso foi legítimo, quem você acha que é o melhor candidato a presidente pelo PSOL?","Se você acha que o processo de escolha do candidato a presidente no congresso foi ilegítimo, quem você acha que é o melhor candidato a presidente pelo PSOL?"
08/12/2013 23:44:13,Randolfe Rodrigues,Chico Alencar,,Não Sabe/Não Respondeu/Não quer Responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Randolfe Rodrigues,Não Sabe/Não Respondeu/Não quer responder,Chico Alencar,"Sim, e temso de parar de conflito para seguir construindo o PSOL","Sim, e devemos parar de conflito para construir o PSOL",Randolfe Rodrigues,Não Sabe/Não Respondeu/Não quer responder,,Randolfe Rodrigues,Randolfe Rodrigues
07/12/2013 15:20:27,Randolfe Rodrigues,Randolfe Rodrigues,,Randolfe Rodrigues,Randolfe Rodrigues,Randolfe Rodrigues,Randolfe Rodrigues,Randolfe Rodrigues,Randolfe Rodrigues,Sim,Sim,Randolfe Rodrigues,Randolfe Rodrigues,,Randolfe Rodrigues,Randolfe Rodrigues
09/12/2013 16:26:14,Renato Roseno,Renato Roseno,,Renato Roseno,Chico Alencar,Chico Alencar,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,Não sabe/Não Respondeu/Não quer responder,Renato Roseno,,Não Sabe/Não Respondeu/Não quer responder,Renato Roseno
12/12/2013 00:29:02,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,Não sabe/Não Respondeu/Não quer responder,Renato Roseno,,Não Sabe/Não Respondeu/Não quer responder,Renato Roseno
06/12/2013 22:58:21,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Chico Alencar,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Não sabe/Não Respondeu/Não quer responder,Renato Roseno,,Não Sabe/Não Respondeu/Não quer responder,Renato Roseno
13/12/2013 16:23:56,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Não sabe/Não Respondeu/Não quer responder,Renato Roseno,,Não Sabe/Não Respondeu/Não quer responder,Renato Roseno
08/12/2013 03:14:54,Renato Roseno,Luciana Genro,,Renato Roseno,Luciana Genro,Luciana Genro,Chico Alencar,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Não Sabe/Não Respondeu/Não quer responder,Renato Roseno
13/12/2013 15:53:20,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,Chico Alencar,Não,Não,Nenhum dos indicados,Renato Roseno,,Nenhum dos indicados,Renato Roseno
07/12/2013 11:37:26,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Não Sabe/Não Respondeu/Não quer responder,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Nenhum dos indicados,Renato Roseno,,Nenhum dos indicados,Renato Roseno
08/12/2013 15:30:55,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Nenhum dos indicados,Renato Roseno,,Nenhum dos indicados,Renato Roseno
09/12/2013 23:37:58,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,Renato Roseno,Renato Roseno,,Nenhum dos indicados,Renato Roseno
08/12/2013 15:50:34,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Renato Roseno,,Outro,Renato Roseno
09/12/2013 17:08:44,Chico Alencar,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Renato Roseno,Sim,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Não sabe/Não Respondeu/Não quer responder,Chico Alencar,,Renato Roseno,Renato Roseno
11/12/2013 22:34:47,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Chico Alencar,,Renato Roseno,Renato Roseno
14/12/2013 20:57:19,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,Não,Não,Luciana Genro,Renato Roseno,,Renato Roseno,Renato Roseno
07/12/2013 15:07:58,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Não sabe/Não Respondeu/Não quer responder,Renato Roseno,,Renato Roseno,Renato Roseno
08/12/2013 09:55:47,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
07/12/2013 08:57:08,Chico Alencar,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
07/12/2013 06:58:50,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
07/12/2013 10:24:28,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
09/12/2013 16:24:38,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
12/12/2013 21:09:44,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
15/12/2013 09:08:05,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
07/12/2013 02:47:15,Chico Alencar,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,Renato Roseno,Chico Alencar,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
07/12/2013 16:30:15,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Outro,Renato Roseno,Renato Roseno,Chico Alencar,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
06/12/2013 21:55:45,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
06/12/2013 22:00:40,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
07/12/2013 14:57:13,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
07/12/2013 16:38:37,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
09/12/2013 01:07:46,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
12/12/2013 11:16:35,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
12/12/2013 16:09:43,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
13/12/2013 19:51:58,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
15/12/2013 14:03:21,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
07/12/2013 15:23:26,Renato Roseno,Chico Alencar,,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,Renato Roseno,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
06/12/2013 21:54:41,Renato Roseno,Renato Roseno,,Renato Roseno,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Chico Alencar,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
09/12/2013 00:38:05,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
09/12/2013 00:38:46,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
09/12/2013 00:38:54,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
09/12/2013 00:38:59,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
09/12/2013 00:39:04,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
09/12/2013 00:39:08,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
09/12/2013 00:39:12,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
09/12/2013 00:39:16,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
09/12/2013 00:39:35,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
06/12/2013 21:36:40,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno
13/12/2013 17:04:57,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,,Renato Roseno,,Renato Roseno,Renato Roseno
07/12/2013 22:40:36,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Outro,Outro,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,,,Renato Roseno,Renato Roseno
07/12/2013 09:10:59,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,Não,Não,Não sabe/Não Respondeu/Não quer responder,Renato Roseno,,,Renato Roseno
11/12/2013 22:19:09,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Outro,Renato Roseno,,,Renato Roseno
12/12/2013 00:32:50,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,Renato Roseno,Renato Roseno,,,Renato Roseno
07/12/2013 09:05:51,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,Renato Roseno,Renato Roseno,,,Renato Roseno
07/12/2013 16:01:46,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,,Renato Roseno
09/12/2013 16:48:15,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,,Renato Roseno
07/12/2013 15:19:55,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Luciana Genro,Chico Alencar,Renato Roseno,Chico Alencar,Sim,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,Renato Roseno,,,Renato Roseno
12/12/2013 00:05:41,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,Não,Não,,Renato Roseno,,,Renato Roseno
07/12/2013 18:20:17,Renato Roseno,Chico Alencar,,Não Sabe/Não Respondeu/Não quer Responder,Luciana Genro,Chico Alencar,Chico Alencar,Chico Alencar,Renato Roseno,Não,Não,,Renato Roseno,,,Renato Roseno
07/12/2013 16:18:15,Renato Roseno,Chico Alencar,,Renato Roseno,Luciana Genro,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,,Renato Roseno,,,Renato Roseno
15/12/2013 02:02:40,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,,Renato Roseno,,,Renato Roseno
07/12/2013 14:55:17,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,,Renato Roseno,,,Renato Roseno
07/12/2013 15:16:22,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,,Renato Roseno,,,Renato Roseno
07/12/2013 15:30:33,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,,Renato Roseno,,,Renato Roseno
08/12/2013 16:16:29,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,,Renato Roseno,,,Renato Roseno
09/12/2013 03:48:16,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,,Renato Roseno,,,Renato Roseno
12/12/2013 00:42:22,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,,Renato Roseno,,,Renato Roseno
12/12/2013 14:05:41,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,,Renato Roseno,,,Renato Roseno
13/12/2013 15:47:55,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,,Renato Roseno,,,Renato Roseno
15/12/2013 19:29:01,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,,Renato Roseno,,,Renato Roseno
07/12/2013 13:50:21,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Não Sabe/Não Respondeu/Não quer responder,Chico Alencar,Renato Roseno,Chico Alencar,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Renato Roseno,,,Renato Roseno
10/12/2013 00:45:10,Renato Roseno,Renato Roseno,,Renato Roseno,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Renato Roseno,,,Renato Roseno
09/12/2013 17:54:29,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Renato Roseno,,,Renato Roseno
07/12/2013 20:50:42,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Renato Roseno,,,Renato Roseno
12/12/2013 16:05:42,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Renato Roseno,,,Renato Roseno
13/12/2013 15:59:35,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Renato Roseno,,,Renato Roseno
13/12/2013 17:51:32,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Renato Roseno,,,Renato Roseno
14/12/2013 02:28:11,Tem de se coligar com o PCB e apoiar Mauro Iasi,Renato Roseno,,Renato Roseno,Luciana Genro,Chico Alencar,Chico Alencar,Não Sabe/Não Respondeu/Não quer responder,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Renato Roseno,,,Renato Roseno
09/12/2013 23:55:14,Renato Roseno,Renato Roseno,,Renato Roseno,Luciana Genro,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Renato Roseno,,,Renato Roseno
07/12/2013 16:00:46,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Renato Roseno,,,Renato Roseno
07/12/2013 16:28:20,Renato Roseno,Renato Roseno,,Renato Roseno,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Renato Roseno,Renato Roseno,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Renato Roseno,,,,Renato Roseno
09/12/2013 16:46:47,Chico Alencar,Randolfe Rodrigues,,Não Sabe/Não Respondeu/Não quer Responder,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Randolfe Rodrigues,"Sim, e temso de parar de conflito para seguir construindo o PSOL","Sim, e devemos parar de conflito para construir o PSOL",Chico Alencar,,,Chico Alencar,
07/12/2013 16:32:47,Randolfe Rodrigues,Luciana Genro,,Randolfe Rodrigues,Outro,Randolfe Rodrigues,Outro,Randolfe Rodrigues,Randolfe Rodrigues,Sim,Sim,Randolfe Rodrigues,Randolfe Rodrigues,,Randolfe Rodrigues,
13/12/2013 16:14:09,Randolfe Rodrigues,Randolfe Rodrigues,,Randolfe Rodrigues,Renato Roseno,Chico Alencar,Chico Alencar,Renato Roseno,Randolfe Rodrigues,"Sim, e temso de parar de conflito para seguir construindo o PSOL",Sim,Randolfe Rodrigues,,,Randolfe Rodrigues,
11/12/2013 22:40:04,Chico Alencar,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL","Sim, e devemos parar de conflito para construir o PSOL",Renato Roseno,,,Renato Roseno,
11/12/2013 23:13:13,Chico Alencar,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL","Sim, e devemos parar de conflito para construir o PSOL",Renato Roseno,,,Renato Roseno,
10/12/2013 01:48:56,Renato Roseno,Chico Alencar,,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,Renato Roseno,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Outro,,,
11/12/2013 22:26:14,Renato Roseno,Renato Roseno,,Chico Alencar,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Renato Roseno,Não,Não,,Renato Roseno,,,
11/12/2013 22:28:14,Renato Roseno,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não,,Renato Roseno,,,
12/12/2013 00:40:13,Chico Alencar,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,Não,Não,,,,,